sensor_id,timestamp,temperature,humidity,location,sensor_type
1093,2025-04-24T01:10:38.000Z,27.6,38.51,BuildingA_Floor2,TypeC
1001,2025-04-22T12:09:52.000Z,19.75,72.26,BuildingA_Floor2,TypeB
1016,2025-04-22T00:35:48.000Z,17.81,45.65,BuildingA_Floor1,TypeB
1027,2025-04-22T16:26:19.000Z,18.29,40.17,BuildingB_Floor1,TypeC
1023,2025-04-22T00:46:51.000Z,29.71,72.12,BuildingB_Floor1,TypeA
1088,2025-04-23T22:39:23.000Z,33.14,52.51,BuildingA_Floor2,TypeA
1023,2025-04-24T04:07:40.000Z,19.62,74.61,BuildingB_Floor2,TypeA
1027,2025-04-24T17:03:58.000Z,34.3,50.64,BuildingB_Floor1,TypeC
1039,2025-04-23T13:51:29.000Z,27.68,74.8,BuildingA_Floor2,TypeA
1019,2025-04-21T20:16:09.000Z,31.15,54.04,BuildingB_Floor2,TypeA
1040,2025-04-24T09:29:42.000Z,15.11,37.49,BuildingB_Floor2,TypeA
1057,2025-04-23T04:21:20.000Z,18.02,58.99,BuildingA_Floor2,TypeB
1046,2025-04-25T18:52:25.000Z,15.73,33.59,BuildingA_Floor2,TypeC
1060,2025-04-25T03:18:25.000Z,18.5,50.44,BuildingA_Floor1,TypeA
1081,2025-04-24T09:05:21.000Z,30.39,58.07,BuildingA_Floor2,TypeB
1070,2025-04-23T21:11:06.000Z,29.15,61.57,BuildingB_Floor2,TypeC
1043,2025-04-22T04:27:04.000Z,18.24,70.78,BuildingA_Floor1,TypeA
1021,2025-04-22T13:50:19.000Z,33.44,48.05,BuildingB_Floor2,TypeB
1003,2025-04-22T16:19:31.000Z,20.25,74.93,BuildingB_Floor1,TypeA
1084,2025-04-22T14:42:47.000Z,17.52,44.38,BuildingB_Floor2,TypeC
1081,2025-04-25T22:07:39.000Z,31.89,45.79,BuildingA_Floor2,TypeC
1046,2025-04-21T09:39:06.000Z,34.64,76.4,BuildingB_Floor2,TypeC
1021,2025-04-22T11:13:38.000Z,19.37,72.82,BuildingA_Floor1,TypeC
1004,2025-04-21T09:35:42.000Z,22.11,43.86,BuildingB_Floor2,TypeB
1072,2025-04-21T21:45:53.000Z,22.67,42.87,BuildingB_Floor1,TypeC
1054,2025-04-24T18:14:54.000Z,16.93,55.54,BuildingA_Floor1,TypeB
1020,2025-04-22T10:05:43.000Z,16.64,33.38,BuildingB_Floor1,TypeB
1005,2025-04-21T08:27:08.000Z,29.0,50.25,BuildingB_Floor2,TypeA
1055,2025-04-23T04:03:14.000Z,27.21,74.92,BuildingB_Floor1,TypeA
1067,2025-04-25T14:03:59.000Z,16.85,36.93,BuildingB_Floor1,TypeB
1029,2025-04-25T09:06:25.000Z,27.44,72.01,BuildingB_Floor1,TypeB
1040,2025-04-25T07:38:08.000Z,27.14,67.55,BuildingB_Floor2,TypeA
