hour_of_day,avg_temp
0,24.479361702127665
1,25.292250000000003
2,25.814864864864866
3,24.11090909090909
4,24.95976744186047
5,24.206
6,25.535555555555554
7,23.37372093023257
8,25.63868421052632
9,25.615106382978727
10,24.347446808510636
11,23.719166666666663
12,24.485135135135135
13,25.802954545454554
14,22.888378378378384
15,25.59142857142857
16,24.80341463414634
17,23.364146341463417
18,25.67833333333333
19,23.807169811320758
20,25.52611111111111
21,24.225
22,25.879583333333326
23,24.638157894736846
